"filename", "language", "HTML", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Generic\ExpandTableRow.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 4, 0, 27
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Generic\URL.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Navbar.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\AddNew.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 1, 8, 61
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Character.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 2, 6, 36
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\EditClassFeature.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Home.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewClass.jsx", "JavaScript JSX", 0, 0, 1116, 0, 0, 0, 107, 167, 1390
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewClassFeature.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 2, 11, 71
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRow.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 13, 19, 136
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRowRank.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 0, 13, 14, 125
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillSelector.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 15, 19, 129
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellKnownTable.jsx", "JavaScript JSX", 0, 0, 125, 0, 0, 0, 11, 23, 159
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellTable.jsx", "JavaScript JSX", 0, 0, 143, 0, 0, 0, 29, 39, 211
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellsPerDayTable.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\index.css", "CSS", 0, 0, 0, 194, 0, 0, 1, 37, 232
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\test\NewClass.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 13, 538, 3997, 231, 1, 4496, 469, 794, 10539
